Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Allium tolmiei,Amaryllidaceae,Allium,tolmiei,,,,,Allium tolmiei,Allium tolmiei,Allium tolmiei,Tolmiei's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, ID, NV, OR, WA",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium tricoccum,Amaryllidaceae,Allium,tricoccum,,,,,Allium tricoccum,Allium tricoccum,Allium tricoccum,,WUS,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,As WUS- ramp,Close,,Khoury pers comm (2011),Native,Native,,,,Wiersema and León (1999),WUS,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,food additive,
Allium unifolium,Amaryllidaceae,Allium,unifolium,,,,,Allium unifolium,Allium unifolium,Allium unifolium,,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,ornamental,
Allium validum,Amaryllidaceae,Allium,validum,,,,,Allium validum,Allium validum,Allium validum,Pacific onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium victorialis,Amaryllidaceae,Allium,victorialis,,,,,Allium victorialis,Allium victorialis,Allium victorialis,Victory Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,US: AK,,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium victorialis subsp. platyphyllum,Amaryllidaceae,Allium,victorialis,subsp.,platyphyllum,,,Allium victorialis platyphyllum,Allium victorialis subsp. platyphyllum,Allium victorialis subsp. platyphyllum,,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Annona montana,Annonaceae,Annona,montana,,,,,Annona montana,,Annona montana,,CWR,NA,Priority,Category (1),Category (1)A,Y,,,Y,Y,Y,Y,Y,Puerto Rico,,,,Native,Native,,,,,CWR,Annona,Cherimoya,Food and agriculture,Food,Fruits,,
Aphanisma blitoides,Amaranthaceae,Aphanisma,blitoides,,,,,Aphanisma blitoides,,Aphanisma blitoides,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Beta vulgaris,"Beet, chard",Food and agriculture,Food,Vegetables,,
Apios americana,Fabaceae,Apios,americana,,,,,Apios americana,Apios americana,Apios americana,"American Groundnut, potato bean",WUS,Priority (2),Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,WUS,,,Native,Native,"US: AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WVCA: NB, NS, ON, PE, QC",,,Khoury et al. (2012) Crop prioritization method,WUS,Apios americana,Potato bean,Food and agriculture,Food,Roots and tubers,,
Apios priceana,Fabaceae,Apios,priceana,,,,,Apios priceana,,Apios priceana,,WUS,,Priority,Category (1),Category (1)B,Y,,,,,,Y,Y,Endangered and formally eaten,WUS,,,Native,Native,,,,,WUS,Apios priceana,Potato bean,Food and agriculture,Food,Roots and tubers,,
Artocarpus altilis,Moraceae,Artocarpus,altilis,,,,,Artocarpus altilis,,Artocarpus altilis,,CWR,NA,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,Guam,,,,Native,Naturalized,,,,,CWR,"Artocarpus altilis, A. heterophyllus","Breadfruit, jackfruit",Food and agriculture,Food,Fruits,,
Artocarpus mariannensis,Moraceae,Artocarpus,mariannensis,,,,,Artocarpus mariannensis,Artocarpus mariannensis,Artocarpus mariannensis,,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,Guam,Distant,GP(3),Harlan and de Wet CWR Database (2012),Native,naturalized,,,,Khoury et al. (2012) Crop prioritization method,CWR,"Artocarpus altilis, A. heterophyllus","Breadfruit, jackfruit",Food and agriculture,Food,Fruits,,
Asimina triloba,Annonaceae,Asimina,triloba,,,,,Asimina triloba,Asimina triloba,Asimina triloba,Pawpaw,WUS,Priority (2),Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",WUS,Asimina triloba,Paw paw,Food and agriculture,Food,Fruits,ornamental,
Blitum californicum,Amaranthaceae,Blitum,californicum,,,,,Blitum californicum,,Blitum californicum,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Spinacia oleracea,Spinach,Food and agriculture,Food,Vegetables,,
Blitum capitatum,Amaranthaceae,Blitum,capitatum,,,,,Blitum capitatum,,Blitum capitatum,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Spinacia oleracea,Spinach,Food and agriculture,Food,Vegetables,,
Blitum hastatum,Amaranthaceae,Blitum,hastatum,,,,,Blitum hastatum,,Blitum hastatum,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Spinacia oleracea,Spinach,Food and agriculture,Food,Vegetables,,
Blitum nuttallianum,Amaranthaceae,Blitum,nuttallianum,,,,,Blitum nuttallianum,,Blitum nuttallianum,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Spinacia oleracea,Spinach,Food and agriculture,Food,Vegetables,,
Blitum spathulatum,Amaranthaceae,Blitum,spathulatum,,,,,Blitum spathulatum,,Blitum spathulatum,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Spinacia oleracea,Spinach,Food and agriculture,Food,Vegetables,,
Capsicum annuum,Solanaceae,Capsicum,annuum,,,,,Capsicum annuum,Capsicum annuum,Capsicum annuum,Pepper,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,Close,GP(1B),Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Capsicum annuum,Chile pepper,Food and agriculture,Food,Vegetables,,
Capsicum annuum var. glabriusculum,Solanaceae,Capsicum,annuum,var.,glabriusculum,,,Capsicum annuum glabriusculum,Capsicum annuum var. glabriusculum,Capsicum annuum var. glabriusculum,Pepper,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,Y,Y,,Y,Y,Y,,Close,GP(1B),Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Capsicum annuum,Chile pepper,Food and agriculture,Food,Vegetables,food additive,
Carya aquatica,Juglandaceae,Carya,aquatica,,,,,Carya aquatica,Carya aquatica,Carya aquatica,water hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,Y,Y,Y,Y,,Close,GP(1B),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya carolinae-septentrionalis,Juglandaceae,Carya,carolinae-septentrionalis,,,,,Carya carolinae-septentrionalis,Carya carolinae-septentrionalis,Carya carolinae-septentrionalis,Southern Shagbark Hickory,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Assume distant,,GRIN CWR database (2012),Native,Native,"US: AL, FL, GA, KY, MS, NC, SC, TN, VA",,,Widrlechner pers comm 2011,CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya cordiformis,Juglandaceae,Carya,cordiformis,,,,,Carya cordiformis,Carya cordiformis,Carya cordiformis,bitternut hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya floridana,Juglandaceae,Carya,floridana,,,,,Carya floridana,Carya floridana,Carya floridana,Scrub Hickory,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Assume distant,,"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,US: FL,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya glabra,Juglandaceae,Carya,glabra,,,,,Carya glabra,Carya glabra,Carya glabra,Sweet Pignut Hickory,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Assume distant,,GRIN CWR database (2012),Native,Native,"US: AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WVCA: ON",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya illinoinensis,Juglandaceae,Carya,illinoinensis,,,,,Carya illinoinensis,Carya illinoinensis,Carya illinoinensis,Pecan,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,Y,Y,Y,Y,,Close,GP(1B),GRIN CWR database (2012),Native,Native; naturalized,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,material,fuel
Carya laciniosa,Juglandaceae,Carya,laciniosa,,,,,Carya laciniosa,Carya laciniosa,Carya laciniosa,shellbark hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya myristiciformis,Juglandaceae,Carya,myristiciformis,,,,,Carya myristiciformis,Carya myristiciformis,Carya myristiciformis,Nutmeg Hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,"US: AL, AR, GA, LA, MS, NC, OK, SC, TX",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya ovalis,Juglandaceae,Carya,ovalis,,,,,Carya ovalis,Carya ovalis,Carya ovalis,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),GRIN CWR database (2012),Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,ornamental,fuel
Carya ovata,Juglandaceae,Carya,ovata,,,,,Carya ovata,Carya ovata,Carya ovata,shagbark hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya pallida,Juglandaceae,Carya,pallida,,,,,Carya pallida,Carya pallida,Carya pallida,Sand Hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(1B),GRIN CWR database (2012),Native,Native,"US: AL, AR, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, SC, TN, VA",,,Widrlechner pers comm 2011,CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya texana,Juglandaceae,Carya,texana,,,,,Carya texana,Carya texana,Carya texana,,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Assume distant,,GRIN CWR database (2012),Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,ornamental,
Carya tomentosa,Juglandaceae,Carya,tomentosa,,,,,Carya tomentosa,Carya tomentosa,Carya tomentosa,mockernut hickory,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"GRIN CWR database (2012); L.J. Grauke, personal communication (2010)",Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya x lecontei,Juglandaceae,Carya,x lecontei,,,,,Carya x lecontei,,Carya x lecontei,,CWR,,Priority,Category (1),Category (1)A,Y,,,,Y,Y,Y,Y,,,,,Native,Native,,,,,CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Carya x ludoviciana,Juglandaceae,Carya,x ludoviciana,,,,,Carya x ludoviciana,,Carya x ludoviciana,,CWR,,Priority,Category (1),Category (1)A,Y,,,,Y,Y,Y,Y,,,,,Native,Native,,,,,CWR,Carya illinoinensis,Pecan,Food and agriculture,Food,Nuts,,
Castanea dentata,Fagaceae,Castanea,dentata,,,,,Castanea dentata,Castanea dentata,Castanea dentata,,WUS,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,WUS,,GRIN CWR database (2012),Native,Native,,,,"McGuffin (2000), Widrlechner pers comm 2011",CWR,Castanea dentata,Chestnut,Food and agriculture,Food,Nuts,medicinal,material
Castanea ozarkensis,Fagaceae,Castanea,ozarkensis,,,,,Castanea ozarkensis,Castanea ozarkensis,Castanea ozarkensis,Ozark chinkapin,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),GRIN CWR database (2012),Native,Native,,,,Widrlechner pers comm 2011,CWR,Castanea mollissima,Chestnut,Food and agriculture,Food,Nuts,medicinal,
Castanea pumila,Fagaceae,Castanea,pumila,,,,,Castanea pumila,Castanea pumila,Castanea pumila,Allegheny Chinquapin,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,Y,Y,Y,Y,,Close,GP(2),GRIN CWR database (2012),Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Castanea dentata,Chestnut,Food and agriculture,Food,Nuts,ornamental,
Castanea x neglecta,Fagaceae,Castanea,x neglecta,,,,,Castanea x neglecta,Castanea x neglecta,Castanea x neglecta,,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,Not in GRIN Tax CWR,Assume distant,,GRIN CWR database (2012),Native,Native,"US: AL, AR, DC, GA, LA, MD, NC, NJ, PA, TN, VA",,,Khoury et al. (2012) Crop prioritization method,CWR,Castanea,Chestnut,Food and agriculture,Food,Nuts,,
Citrus depressa,Rutaceae,Citrus,depressa,,,,,Citrus depressa,,Citrus depressa,,CWR,NA,Priority,Category (1),Category (1)A,Y,,,Y,Y,Y,Y,Y,Guam,,,,Native,Native,,,,,CWR,Citrus,Citrus,Food and agriculture,Food,Fruits,,
Comarum palustre,Rosaceae,Comarum,palustre,,,,,Comarum palustre,Comarum palustre,Comarum palustre,Marsh Cinquefoil,CWR,Non Priority,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,WUS,,,Native,Native,"US: AK, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, PA, UT, VT, WA, WI, WYCA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT",,,Widrlechner pers comm 2011,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Corylus americana,Betulaceae,Corylus,americana,,,,,Corylus americana,Corylus americana,Corylus americana,American Hazelnut,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,TG(2),Harlan and de Wet CWR Database (2012); Erdogen (2001),Native,Native,"US: AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WVCA: MB, ON, QC",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Corylus avellana,Hazelnut,Food and agriculture,Food,Nuts,,
Corylus californica,Betulaceae,Corylus,californica,,,,,Corylus californica,Corylus californica,Corylus californica,California hazelnut,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,TG(2),Harlan and de Wet CWR Database (2012),Native,Native,,,,"McGuffin (2000), Widrlechner pers comm 2011",CWR,Corylus avellana,Hazelnut,Food and agriculture,Food,Nuts,medicinal,restoration
Corylus cornuta,Betulaceae,Corylus,cornuta,,,,,Corylus cornuta,Corylus cornuta,Corylus cornuta,Beaked Hazelnut,CWR,Priority (1)A,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Close,TG(2),Harlan and de Wet CWR Database (2012); Erdogen 2001,Native,Native,"US: AL, CA, CO, CT, DE, GA, IA, ID, IL, KS, MA, MD, ME, MI, MN, MS, NC, ND, NH, NJ, NY, OH, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WYCA: AB, BC, MB, NB, NF, NS, ON, PE, QC, SK",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Corylus avellana,Hazelnut,Food and agriculture,Food,Nuts,,
Cucumis melo var. agrestis,Cucurbitaceae,Cucumis,melo,var.,agrestis,,,Cucumis melo agrestis,,Cucumis melo var. agrestis,,CWR,NA,Priority,Category (1),Category (1)A,Y,Y,,Y,,Y,Y,Y,Guam,,,,Native,Native,,,,,CWR,Cucumis melo,Melon,Food and agriculture,Food,Fruits,,
Cucurbita digitata,Cucurbitaceae,Cucurbita,digitata,,,,,Cucurbita digitata,Cucurbita digitata,Cucurbita digitata,Fingerleaf Gourd,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CA, NM, TX",,,Khoury et al. (2012) Crop prioritization method,CWR,Cucurbita,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita foetidissima,Cucurbitaceae,Cucurbita,foetidissima,,,,,Cucurbita foetidissima,Cucurbita foetidissima,Cucurbita foetidissima,Buffalo Gourd,CWR,Priority (1)A,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Close,GP(2),Harlan and de Wet CWR Database (2012),Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Cucurbita ficifolia,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Oils,medicinal,forage
Cucurbita okeechobeensis,Cucurbitaceae,Cucurbita,okeechobeensis,,,,,Cucurbita okeechobeensis,Cucurbita okeechobeensis,Cucurbita okeechobeensis,Okeechobee Gourd,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,Close,GP(2),Harlan and de Wet CWR Database (2012),Native,Native,US: FL,,,Khoury et al. (2012) Crop prioritization method,CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita okeechobeensis subsp. okeechobeensis,Cucurbitaceae,Cucurbita,okeechobeensis,subsp.,okeechobeensis,,,Cucurbita okeechobeensis okeechobeensis,Cucurbita okeechobeensis subsp. okeechobeensis,Cucurbita okeechobeensis subsp. okeechobeensis,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,Y,,Y,Y,Y,,Close,GP(2),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita palmata,Cucurbitaceae,Cucurbita,palmata,,,,,Cucurbita palmata,Cucurbita palmata,Cucurbita palmata,Coyote Gourd,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CA, NV, UT",,,Khoury et al. (2012) Crop prioritization method,CWR,Cucurbita,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita pepo,Cucurbitaceae,Cucurbita,pepo,,,,,Cucurbita pepo,Cucurbita pepo,Cucurbita pepo,Field Pumpkin,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,Close,GP(1A),Harlan and de Wet CWR Database (2012),Native,Native,"US: AL, AR, CA, CT, FL, GA, IL, KS, KY, LA, MA, MI, MO, MS, NC, NH, NM, NV, NY, OH, PA, SC, TX, UT, VA, WVCA: ON",,,Wiersema and León (1999),CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,medicinal,
Cucurbita pepo subsp. ovifera var. ozarkana,Cucurbitaceae,Cucurbita,pepo,subsp.,ovifera,var.,ozarkana,Cucurbita pepo ovifera ozarkana,Cucurbita pepo var. ozarkana,Cucurbita pepo subsp. ovifera var. ozarkana,Ozark Melon,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,Y,Y,,,Y,Y,,Close,GP(1B),Harlan and de Wet CWR Database (2012),Native,Native,"US: AR, IL, MO",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita pepo subsp. ovifera var. texana,Cucurbitaceae,Cucurbita,pepo,subsp.,ovifera,var.,texana,Cucurbita pepo ovifera texana,Cucurbita pepo var. texana,Cucurbita pepo subsp. ovifera var. texana,Texas Gourd,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,Y,Y,,,Y,Y,,Close,GP(1B),Harlan and de Wet CWR Database (2012),Native,Native,"US: LA, NM, TX",,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Fruits,,
Cucurbita pepo var. ozarkana,Cucurbitaceae,Cucurbita,pepo,var.,ozarkana,,,Cucurbita pepo ozarkana,Cucurbita pepo var. ozarkana,Cucurbita pepo var. ozarkana,Ozark Melon,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,Y,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Vegetables,,
Cucurbita pepo var. texana,Cucurbitaceae,Cucurbita,pepo,var.,texana,,,Cucurbita pepo texana,Cucurbita pepo var. texana,Cucurbita pepo var. texana,Texas Gourd,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,Y,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Cucurbita pepo,"Zucchini, squash, pumpkin, etc.",Food and agriculture,Food,Vegetables,,
Dasiphora fruticosa,Rosaceae,Dasiphora,fruticosa,,,,,Dasiphora fruticosa,Dasiphora fruticosa,Dasiphora fruticosa,Golden-Hardhack,CWR,Non Priority,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,"US: AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WYCA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT",,,Widrlechner pers comm 2011,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,ornamental,
Daucus pusillus,Apiaceae,Daucus,pusillus,,,,,Daucus pusillus,Daucus pusillus,Daucus pusillus,Rattlesnake weed,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,"Wiersema pers comm 2011, Widrlechner pers comm 2011",CWR,Daucus carota,Carrot,Food and agriculture,Food,Vegetables,,
Dioscorea villosa,Dioscoreaceae,Dioscorea,villosa,,,,,Dioscorea villosa,Dioscorea villosa,Dioscorea villosa,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,,,,Y,Y,Not in GRIN Tax CWR,Distant,GP(3),Harlan and de Wet CWR Database (2012),Native,Native,,,,McGuffin (2000),CWR,Dioscorea alata,Yam,Food and agriculture,Food,Roots and tubers,,
Diospyros texana,Ebenaceae,Diospyros,texana,,,,,Diospyros texana,Diospyros texana,Diospyros texana,Texas Persimmon,CWR,Priority (1)A,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,Not in GRIN Tax CWR,Unknown,,,Native,Native,US: TX,,,Khoury et al. (2012) Crop prioritization method,CWR,Diospyros,Persimmon,Food and agriculture,Food,Roots and tubers,,
Diospyros virginiana,Ebenaceae,Diospyros,virginiana,,,,,Diospyros virginiana,Diospyros virginiana,Diospyros virginiana,American persimmon,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,Y,Y,Y,Y,,Unknown,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",CWR,Diospyros,Persimmon,Food and agriculture,Food,Fruits,,
Drymocallis glandulosa,Rosaceae,Drymocallis,glandulosa,,,,,Drymocallis glandulosa,,Drymocallis glandulosa,,CWR,,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Echinacea purpurea,Asteraceae,Echinacea,purpurea,,,,,Echinacea purpurea,Echinacea purpurea,Echinacea purpurea,eastern purple coneflower,CWR,Priority (2),Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,,Close,,Khoury pers comm (2011),Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",CWR,Echinacea purpurea,Echinacea,Medicinal,Medicinal,Medicinals,ornamental,restoration
